day,time,type,server,source_acc_id,source_char_id,target_acc_id,target_char_id,item_type,item_amount,item_price
1,21:40:09,0,bd,115641,202802,42143,197398,etc,2.68E-07,0.00185888
1,13:08:52,1,ah,104546,293593,41270,224395,etc,9.37E-06,
1,21:01:48,1,au,84624,107496,33916,312167,adena,2.24972928,
1,14:37:50,1,ar,78411,226143,80350,34764,adena,0.006695623,
1,20:32:00,0,ay,50284,44100,17523,276351,etc,5.36E-08,0.03740164
1,0:29:02,0,ac,87962,334455,89597,321617,etc,2.68E-05,0.031698207
1,14:24:53,1,al,18212,164230,38145,34209,accessory,8.03E-08,
1,23:38:20,1,ap,51944,60166,119480,27579,etc,2.68E-08,
1,1:01:32,0,ar,5669,36002,80878,331947,etc,2.68E-07,0.000102856
1,20:20:02,0,aa,54445,383477,97930,197911,etc,1.34E-05,0.013230963
1,2:05:57,0,ab,69336,31464,119150,28903,etc,2.68E-06,0.032726762
1,23:04:25,1,ae,18640,272906,78425,46788,adena,0.307730827,
1,19:08:28,0,bc,43052,319053,20210,222136,etc,3.05E-06,0.100946166
1,10:58:08,1,ad,95018,47465,20221,164040,adena,0.267824914,
1,18:36:01,1,ab,106742,199256,38326,140582,armor,8.03E-08,
1,1:36:32,1,aa,2556,68327,61784,139568,adena,3.71656327,
1,20:02:42,0,aw,85465,363858,53120,280973,spell,2.68E-08,0.010285554
1,22:56:57,1,bc,54959,305545,70056,55043,etc,2.68E-08,
1,22:48:20,0,ac,84252,296171,18239,343515,etc,5.36E-08,0.009591934
1,0:57:48,0,ae,88919,163122,33059,166779,etc,2.41E-07,0.023563269
1,19:52:35,0,ae,61493,32054,96350,376068,enchant_scroll,2.68E-08,0.048091697
1,16:07:04,0,ay,60246,245859,120555,58711,enchant_scroll,2.68E-08,0.907030636
1,19:35:32,1,bc,90072,305262,16788,391733,etc,3.78E-06,
1,19:21:52,0,au,123016,385775,41595,378579,enchant_scroll,2.68E-08,0.00223103
1,22:33:13,1,al,80192,229583,33266,27123,adena,0.000267825,
1,19:45:01,0,ao,104184,276989,20704,296709,etc,3.67E-06,0.00131627
1,22:25:43,0,az,86394,291896,12392,169647,spell,8.03E-07,0.004684602
1,15:13:16,1,bb,15176,242477,56178,340200,accessory,2.14E-07,
1,2:21:22,1,ay,17532,315072,61479,350593,adena,0.75276547,
1,14:54:00,1,aq,40210,21366,82037,313268,weapon,5.36E-08,
1,19:39:04,0,bd,48896,214868,92665,339362,enchant_scroll,2.68E-08,0.008401801
1,21:54:12,0,aa,32317,193580,94826,86924,etc,1.34E-07,0.423981285
1,22:13:32,0,ag,98414,279953,3597,295043,enchant_scroll,1.34E-07,0.021743193
1,19:18:30,1,ar,91357,248164,44255,183041,adena,0.160694949,
1,11:04:04,1,av,102408,115756,86286,120032,etc,2.46E-06,
1,10:28:02,1,ax,119823,156788,31360,127707,adena,5.624323201,
1,13:22:11,1,ai,107237,60859,73725,91255,accessory,2.68E-08,
1,18:44:01,0,ab,58601,197356,98416,128465,enchant_scroll,2.68E-08,0.062319423
1,2:54:53,1,ag,49483,289625,57611,45284,accessory,2.68E-08,
1,23:55:24,0,an,52868,154757,40658,377934,etc,1.02E-06,0.060407806
1,2:37:11,1,an,86148,357803,49545,69860,accessory,1.34E-07,
1,16:00:36,1,am,79811,40631,78200,350870,adena,0.026782491,
1,22:09:26,1,az,23556,139471,49271,126349,weapon,2.68E-08,
1,13:30:53,1,ai,64278,259566,106390,342239,etc,2.68E-08,
1,21:10:55,1,av,48045,85749,68657,396770,weapon,2.68E-08,
1,13:15:37,1,bc,56330,94074,120076,383175,etc,2.68E-08,
1,13:40:45,1,ac,33431,213913,75903,49623,etc,2.68E-08,
1,18:52:38,0,bc,52366,288002,81240,137568,etc,8.03E-08,0.021649314
1,19:25:12,1,ay,59945,114789,104166,338755,etc,0.000175827,
1,1:46:37,1,ah,98736,124169,52740,84159,armor,1.87E-07,
1,0:24:05,0,bd,86365,159310,129334,356858,etc,8.03E-08,0.014056051
1,17:23:16,1,ad,129808,106480,7928,383361,armor,2.68E-08,
1,17:13:17,0,ab,39644,344561,113916,153449,spell,8.03E-07,0.004140403
1,0:54:36,0,az,113572,118312,39576,245319,enchant_scroll,2.68E-08,0.010280037
1,20:31:34,1,at,82340,361578,40329,270974,adena,0.334781143,
1,20:33:19,1,ai,19350,222762,71756,364182,adena,0.00053565,
1,22:28:02,1,az,33149,248351,16587,77390,weapon,2.68E-08,
1,14:31:52,1,ae,22178,332313,64781,176383,adena,0.009360133,
1,20:34:34,0,ag,14962,333339,13917,339754,enchant_scroll,2.68E-08,0.047328976
1,23:49:12,0,ag,82298,66765,77888,150352,etc,2.14E-07,0.037764066
1,14:15:50,0,av,54082,242706,55722,41296,etc,2.68E-08,0.151964384
1,15:32:21,0,ay,118153,62128,101892,214410,etc,9.37E-07,0.13090705
1,19:17:08,0,al,47116,278286,44731,49273,enchant_scroll,2.68E-08,0.052211061
1,20:26:35,0,ab,30405,45285,106939,233153,enchant_scroll,1.34E-07,0.007371937
1,1:25:13,1,as,123214,271241,41517,242856,armor,8.03E-08,
1,11:20:08,0,ak,83952,341485,92862,72588,etc,2.14E-06,0.411534362
1,14:03:32,1,bd,3578,32796,86691,71422,enchant_scroll,5.36E-08,
1,1:41:46,0,ai,88906,292178,117078,268740,etc,1.21E-05,0.061979813
1,0:15:30,0,au,88462,139097,123011,18235,etc,1.45E-05,0.005631528
1,17:13:22,1,ad,24054,123644,64599,41891,etc,2.68E-08,
1,14:28:56,0,ar,60135,346365,62098,36182,etc,5.36E-06,0.001645689
1,1:35:55,0,ax,59660,106341,99291,316109,accessory,2.68E-08,0.513337409
1,22:54:03,1,an,16769,380812,31570,391471,etc,5.36E-08,
1,23:24:07,0,aq,110904,108854,12561,391262,etc,2.68E-08,0.023936448
1,20:26:48,1,ak,42325,379024,87477,280875,etc,6.66E-05,
1,0:11:46,1,au,84061,327563,114058,337418,etc,0.012052121,
1,14:33:58,0,bc,50720,393938,121264,313758,etc,2.68E-07,0.012470767
1,21:33:37,1,am,60049,173457,106257,136343,etc,8.65E-06,
1,16:23:57,0,au,33020,155959,129153,46351,enchant_scroll,2.68E-08,0.009119359
1,20:06:27,1,bd,94080,268468,32760,71804,enchant_scroll,2.68E-08,
1,12:18:02,1,ae,113115,4260,111127,222262,etc,2.68E-08,
1,13:10:18,0,ab,101835,180904,125666,71950,enchant_scroll,2.68E-08,0.05210166
1,17:29:20,0,bd,87169,344875,42591,339131,etc,1.34E-07,0.019028275
1,23:50:34,0,at,8105,276789,114377,172687,etc,2.68E-08,0.013740284
1,22:47:27,1,ao,68576,224665,29385,84799,weapon,2.68E-08,
1,1:17:33,1,an,93801,52809,62716,172499,adena,6.695622858,
1,18:50:15,0,ag,52230,20630,111746,308519,etc,5.36E-08,0.009353683
1,19:20:49,1,ax,47146,305500,87303,68430,adena,0.026782491,
1,10:26:39,1,ar,41155,137797,15670,233303,etc,8.03E-08,
1,10:46:23,1,av,70310,133968,87487,97973,armor,1.07E-07,
1,23:17:34,0,ay,8986,340251,85478,156612,etc,6.16E-07,0.082921294
1,21:43:36,1,ay,58171,298546,111742,335737,etc,1.89E-05,
1,22:48:36,0,bd,77921,41826,127622,21097,etc,2.68E-07,0.000813494
1,19:12:36,1,bc,121264,313758,20153,265765,adena,0.757955301,
1,20:13:00,1,bd,78575,132914,112863,40376,weapon,2.95E-07,
1,17:01:11,1,ae,121848,33433,35009,122416,adena,0.827560452,
1,19:03:44,1,ah,510,233949,102043,233675,etc,2.68E-08,
1,0:29:06,0,ab,37008,116104,85241,312040,etc,3.21E-07,0.010794221
1,18:29:58,1,bd,65564,188750,70950,216189,etc,2.68E-08,
1,20:28:56,0,aa,97392,158326,85236,143041,etc,3.48E-06,0.88612291
1,13:56:12,1,ah,117108,320337,27123,154729,accessory,8.03E-08,
1,12:26:43,0,au,527,165554,72259,340715,etc,1.34E-06,0.010014389
1,13:31:23,0,ap,10678,394740,75815,23886,enchant_scroll,2.68E-07,0.034881118
1,15:42:32,1,ar,81191,355992,124737,299583,adena,1.12486464,
1,21:14:49,1,ap,28498,291142,13226,223371,armor,1.61E-07,
1,22:38:31,0,bb,49457,135305,90473,104992,etc,1.02E-06,0.005354659
1,16:50:45,0,ar,33396,364488,61145,375992,etc,8.84E-06,0.027770996
1,21:44:13,0,ay,87917,242476,110479,383598,enchant_scroll,1.61E-07,0.055921809
1,18:23:05,0,bd,54837,264966,9045,253897,etc,2.68E-08,0.001970151
1,16:15:30,1,ao,116195,214145,128996,236480,accessory,2.68E-08,
1,10:02:27,1,at,37797,130000,84937,306401,accessory,2.68E-08,
1,21:16:19,1,ay,116571,364757,112130,372391,adena,0.133912457,
1,20:24:39,0,ae,124713,7754,100311,273764,enchant_scroll,5.36E-08,0.094818033
1,21:52:03,0,av,119441,393468,60570,229735,enchant_scroll,2.68E-08,0.054047407
1,0:53:04,1,ai,109226,394814,11266,388656,armor,2.68E-08,
1,2:20:30,0,ar,85818,264827,109906,282920,etc,2.68E-06,0.449871427
1,11:52:37,1,bb,63973,125936,86453,2661,etc,2.68E-08,
1,18:52:10,1,af,95514,105742,80361,52751,adena,1.231994606,
1,23:29:51,1,ac,54699,216944,17919,303919,etc,1.07E-05,
1,17:31:29,0,ar,93499,24440,6624,99162,enchant_scroll,1.34E-07,0.253614175
1,0:09:18,0,an,52481,333727,60127,144680,etc,5.36E-08,0.28986561
1,0:09:28,0,bd,73841,120965,31705,143444,etc,1.93E-06,0.0101726
1,21:08:56,1,at,47572,323612,4324,161038,adena,0.026782491,
1,15:39:37,0,ad,89515,78359,59786,75494,weapon,5.36E-08,0.448562356
1,0:01:38,0,ad,92924,4531,121023,37066,etc,5.36E-06,0.639050815
1,21:42:44,1,an,49653,55302,117293,73458,etc,2.68E-08,
1,19:23:56,1,an,115376,288210,3716,343541,enchant_scroll,2.68E-08,
1,23:33:49,1,am,109041,345211,59708,22334,enchant_scroll,2.68E-08,
1,4:40:52,0,ab,67099,286467,29298,97484,enchant_scroll,4.29E-07,0.034953398
1,3:12:16,0,bc,72610,144206,45670,158990,etc,1.93E-06,0.040394175
1,21:44:57,0,ac,12430,208759,58260,237024,spell,2.68E-08,0.046752518
1,20:46:04,0,ax,83804,27730,25364,261340,etc,1.07E-05,0.248723395
1,14:04:01,1,ay,36198,154384,73473,94640,adena,16.06949486,
1,19:59:51,1,ae,19963,142292,55741,87953,enchant_scroll,2.68E-07,
1,4:55:44,0,al,6771,93087,71677,345277,etc,2.68E-08,0.001701418
1,3:22:04,0,au,24932,114853,31939,184104,armor,2.68E-08,0.923466017
1,9:31:37,1,aj,55336,23658,75744,125863,accessory,2.68E-08,
1,2:32:03,0,an,105213,158458,6136,214716,etc,2.68E-08,0.088198064
1,14:25:42,0,aj,92992,180127,123063,5168,etc,2.68E-06,0.04308712
1,14:21:53,1,as,18640,24731,93428,97924,adena,0.425841614,
1,22:22:38,1,am,94012,122862,51834,315367,enchant_scroll,4.29E-07,
1,1:41:37,0,al,120637,20472,86425,72959,etc,5.36E-06,0.028051511
1,15:00:49,1,bd,121069,231190,47346,180124,adena,0.03213899,
1,1:42:30,1,ao,40356,380151,75935,17264,armor,2.68E-08,
1,2:34:03,0,as,103198,320025,102455,280985,etc,9.11E-07,0.139915325
1,3:00:05,0,bc,41141,217810,50720,393938,etc,2.68E-08,0.039160563
1,1:30:34,0,ax,2943,226120,100047,357154,etc,2.68E-07,0.072623491
1,21:31:47,1,aj,64660,313360,99789,51461,etc,2.68E-08,
1,1:06:26,0,ac,83618,386671,533,372461,enchant_scroll,5.36E-08,0.03690943
1,23:24:53,0,aa,59023,137097,58179,254797,armor,5.36E-08,0.228527242
1,22:18:11,0,aa,28030,292301,75333,258463,etc,2.68E-06,0.016438185
1,19:07:43,1,af,59748,357522,67302,233077,spell,3.04E-05,
1,20:42:22,1,az,14236,360914,71900,284835,adena,1.56026763,
1,23:31:17,1,aa,51606,292229,70236,174808,accessory,2.68E-08,
1,17:48:11,1,aq,43987,335835,85836,15547,etc,1.07E-07,
1,18:57:12,0,ai,50511,169615,33512,373827,etc,1.55E-06,0.174223257
1,11:16:45,1,ak,12524,340518,43289,302581,armor,2.68E-08,
1,20:36:47,0,bd,92665,339362,52737,75407,etc,5.36E-07,0.00167748
1,21:30:59,1,bc,42174,4194,45658,364486,etc,2.68E-08,
1,17:50:50,1,ay,123602,41569,111288,61215,armor,4.29E-07,
1,9:27:47,1,ap,36477,52586,79084,277969,etc,1.07E-05,
1,1:10:48,0,as,91317,396075,22947,35766,enchant_scroll,2.68E-08,0.003564131
